iter	Passed	Remaining
403	8995	13271
404	9015	13245
405	9035	13218
406	9051	13188
407	9072	13164
408	9089	13134
409	9107	13105
410	9130	13084
411	9148	13056
412	9168	13030
413	9184	13000
414	9203	12974
415	9226	12951
416	9247	12928
417	9268	12905
418	9285	12875
419	9305	12851
420	9325	12825
421	9343	12797
422	9362	12770
423	9381	12744
424	9401	12719
425	9420	12692
426	9443	12672
427	9470	12656
428	9497	12640
429	9520	12619
430	9541	12596
431	9566	12578
432	9586	12553
433	9607	12529
434	9625	12502
435	9646	12479
436	9666	12453
437	9688	12431
438	9785	12505
439	9837	12520
440	9877	12520
441	9896	12493
442	9915	12467
443	9936	12443
444	9958	12420
445	9979	12396
446	9999	12370
447	10018	12344
448	10041	12322
449	10061	12297
450	10079	12270
451	10100	12245
452	10123	12224
453	10142	12197
454	10163	12173
455	10182	12147
456	10203	12123
457	10223	12098
458	10241	12070
459	10262	12047
460	10282	12022
461	10304	11999
462	10323	11973
463	10340	11945
464	10363	11923
465	10385	11900
466	10409	11880
467	10428	11854
468	10454	11835
469	10473	11810
470	10494	11786
471	10514	11762
472	10534	11736
473	10550	11707
474	10571	11684
475	10594	11662
476	10616	11640
477	10638	11617
478	10662	11597
479	10681	11571
480	10707	11553
481	10730	11531
482	10750	11507
483	10771	11483
484	10790	11457
485	10812	11435
486	10832	11411
487	10855	11389
488	10872	11361
489	10893	11338
490	10916	11316
491	10935	11290
492	10955	11266
493	10975	11242
494	10998	11220
495	11022	11199
496	11037	11170
497	11054	11143
498	11072	11116
499	11092	11092
500	11112	11068
501	11133	11044
502	11151	11018
503	11169	10992
504	11190	10968
505	11208	10942
506	11229	10919
507	11255	10901
508	11284	10885
509	11313	10869
510	11331	10843
511	11349	10817
512	11370	10794
513	11393	10772
514	11423	10758
515	11458	10747
516	11489	10733
517	11523	10722
518	11543	10698
519	11567	10678
520	11592	10657
521	11613	10634
522	11638	10615
523	11659	10591
524	11678	10566
525	11705	10547
526	11727	10525
527	11747	10501
528	11771	10481
529	11795	10460
530	11818	10438
531	11841	10417
532	11863	10394
533	11881	10368
534	11901	10344
535	11919	10318
536	11938	10293
537	11955	10266
538	11974	10241
539	11992	10215
540	12011	10191
541	12031	10166
542	12052	10143
543	12070	10118
544	12088	10092
545	12113	10072
546	12134	10049
547	12153	10024
548	12170	9997
549	12190	9974
550	12209	9949
551	12229	9925
552	12248	9900
553	12275	9882
554	12298	9861
555	12323	9841
556	12344	9817
557	12365	9794
558	12381	9768
559	12398	9741
560	12418	9717
561	12436	9692
562	12465	9675
563	12488	9654
564	12512	9633
565	12531	9609
566	12547	9582
567	12565	9557
568	12586	9533
569	12605	9509
570	12620	9482
571	12638	9456
572	12658	9433
573	12681	9411
574	12696	9384
575	12714	9359
576	12736	9337
577	12752	9310
578	12771	9286
579	12787	9259
580	12803	9233
581	12820	9207
582	12839	9183
583	12858	9159
584	12876	9134
585	12897	9111
586	12915	9086
587	12937	9065
588	12957	9041
589	12976	9017
590	12997	8994
591	13013	8968
592	13032	8945
593	13052	8921
594	13067	8894
595	13090	8873
596	13111	8850
597	13133	8828
598	13152	8804
599	13172	8781
600	13189	8756
601	13211	8734
602	13233	8712
603	13254	8689
604	13273	8666
605	13292	8642
606	13310	8617
607	13328	8593
608	13348	8570
609	13369	8547
610	13391	8525
611	13408	8501
612	13435	8482
613	13459	8461
614	13476	8436
615	13493	8411
616	13509	8385
617	13527	8361
618	13545	8337
619	13563	8313
620	13579	8287
621	13602	8266
622	13621	8243
623	13641	8219
624	13661	8196
625	13678	8171
626	13692	8145
627	13708	8120
628	13725	8095
629	13751	8076
630	13767	8050
631	13786	8027
632	13807	8005
633	13830	7984
634	13849	7960
635	13865	7935
636	13886	7913
637	13904	7889
638	13925	7866
639	13944	7843
640	13965	7821
641	13981	7796
642	14001	7773
643	14021	7751
644	14042	7728
645	14063	7706
646	14084	7684
647	14102	7660
648	14120	7636
649	14138	7613
650	14160	7591
651	14179	7568
652	14197	7544
653	14215	7520
654	14237	7499
655	14256	7476
656	14275	7452
657	14292	7428
658	14309	7404
659	14326	7380
660	14348	7358
661	14366	7335
662	14385	7312
663	14404	7288
664	14436	7272
665	14471	7257
666	14488	7233
667	14505	7209
668	14524	7186
669	14540	7161
670	14560	7139
671	14578	7115
672	14596	7092
673	14613	7068
674	14632	7045
675	14656	7024
676	14676	7002
677	14697	6980
678	14719	6958
679	14739	6936
680	14761	6914
681	14782	6892
682	14801	6869
683	14818	6845
684	14835	6822
685	14854	6799
686	14879	6779
687	14902	6757
688	14918	6733
689	14936	6710
690	14956	6688
691	14979	6667
692	14999	6644
693	15019	6622
694	15039	6600
695	15057	6576
696	15083	6557
697	15103	6534
698	15121	6511
699	15142	6489
700	15157	6465
701	15173	6441
702	15195	6419
703	15215	6397
704	15234	6374
705	15248	6349
706	15265	6326
707	15287	6304
708	15308	6283
709	15329	6261
710	15349	6238
711	15366	6215
712	15384	6192
713	15407	6171
714	15427	6149
715	15446	6126
716	15465	6104
717	15482	6080
718	15501	6058
719	15520	6035
720	15538	6012
721	15556	5990
722	15575	5967
723	15590	5943
724	15612	5921
725	15631	5899
726	15651	5877
727	15672	5855
728	15695	5834
729	15718	5813
730	15739	5791
731	15758	5769
732	15776	5746
733	15796	5724
734	15816	5702
735	15831	5678
736	15850	5656
737	15872	5634
738	15894	5613
739	15915	5592
740	15939	5571
741	15956	5548
742	15978	5526
743	15997	5504
744	16014	5481
745	16033	5459
746	16050	5436
747	16066	5412
748	16083	5389
749	16102	5367
750	16122	5345
751	16142	5323
752	16163	5301
753	16184	5280
754	16206	5259
755	16230	5238
756	16251	5216
757	16268	5193
758	16286	5171
759	16303	5148
760	16325	5127
761	16349	5106
762	16369	5084
763	16394	5064
764	16422	5044
765	16445	5023
766	16466	5002
767	16487	4980
768	16508	4958
769	16533	4938
770	16590	4927
771	16627	4910
772	16658	4892
773	16681	4870
774	16701	4848
775	16725	4827
776	16749	4807
777	16772	4786
778	16795	4764
779	16817	4743
780	16843	4723
781	16867	4702
782	16891	4681
783	16913	4659
784	16934	4638
785	16964	4618
786	16991	4598
787	17009	4576
788	17029	4554
789	17051	4532
790	17068	4509
791	17085	4487
792	17103	4464
793	17120	4441
794	17141	4420
795	17160	4397
796	17180	4376
797	17201	4354
798	17223	4332
799	17245	4311
800	17262	4288
801	17282	4266
802	17302	4244
803	17319	4222
804	17337	4199
805	17359	4178
806	17383	4157
807	17403	4135
808	17422	4113
809	17442	4091
810	17460	4069
811	17482	4047
812	17503	4025
813	17523	4004
814	17541	3981
815	17560	3959
816	17579	3937
817	17599	3915
818	17620	3894
819	17637	3871
820	17658	3850
821	17679	3828
822	17697	3806
823	17714	3783
824	17732	3761
825	17751	3739
826	17770	3717
827	17788	3695
828	17806	3672
829	17827	3651
830	17844	3628
831	17863	3606
832	17884	3585
833	17906	3564
834	17926	3542
835	17944	3520
836	17963	3498
837	17980	3475
838	18005	3455
839	18026	3433
840	18046	3411
841	18063	3389
842	18082	3367
843	18102	3345
844	18122	3324
845	18138	3301
846	18154	3279
847	18172	3257
848	18194	3236
849	18212	3213
850	18229	3191
851	18247	3169
852	18268	3148
853	18287	3126
854	18306	3104
855	18330	3083
856	18349	3061
857	18375	3041
858	18396	3019
859	18417	2998
860	18439	2976
861	18458	2955
862	18477	2933
863	18498	2911
864	18520	2890
865	18541	2869
866	18561	2847
867	18583	2826
868	18605	2804
869	18623	2782
870	18643	2761
871	18662	2739
872	18681	2717
873	18700	2695
874	18726	2675
875	18751	2654
876	18778	2633
877	18807	2613
878	18835	2592
879	18863	2572
880	18894	2552
881	18921	2531
882	18946	2510
883	18974	2489
884	18994	2468
885	19013	2446
886	19031	2424
887	19055	2403
888	19077	2382
889	19096	2360
890	19120	2339
891	19141	2317
892	19161	2295
893	19177	2273
894	19196	2252
895	19218	2230
896	19234	2208
897	19254	2187
898	19272	2165
899	19289	2143
900	19305	2121
901	19325	2099
902	19342	2077
903	19364	2056
904	19391	2035
905	19416	2014
906	19434	1992
907	19453	1971
908	19472	1949
909	19491	1927
910	19512	1906
911	19532	1884
912	19553	1863
913	19574	1841
914	19596	1820
915	19618	1799
916	19640	1777
917	19663	1756
918	19681	1734
919	19703	1713
920	19727	1692
921	19747	1670
922	19765	1648
923	19785	1627
924	19804	1605
925	19827	1584
926	19845	1562
927	19867	1541
928	19888	1520
929	19908	1498
930	19930	1477
931	19953	1455
